DATAFLOW,LAST UPDATE,freq,emp_cont,yes_no,lev_satis,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,F,THS_PER,AT,2021,89.9,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,F,THS_PER,BE,2021,112.2,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,F,THS_PER,BG,2021,,u,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,F,THS_PER,CH,2021,146.5,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,F,THS_PER,CY,2021,22.7,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,F,THS_PER,CZ,2021,60.1,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,F,THS_PER,DE,2021,533.9,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,F,THS_PER,DK,2021,78.9,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,F,THS_PER,EA20,2021,4137.6,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,F,THS_PER,EE,2021,2.3,u,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,F,THS_PER,EL,2021,64.5,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,F,THS_PER,ES,2021,1072.7,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,F,THS_PER,EU27_2020,2021,4706.9,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,F,THS_PER,FI,2021,76.4,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,F,THS_PER,FR,2021,804.7,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,F,THS_PER,HR,2021,47.8,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,F,THS_PER,HU,2021,34.7,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,F,THS_PER,IE,2021,54.6,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,F,THS_PER,IT,2021,744.8,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,F,THS_PER,LT,2021,3.3,u,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,F,THS_PER,LU,2021,4.2,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,F,THS_PER,LV,2021,,u,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,F,THS_PER,MT,2021,3.9,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,F,THS_PER,NL,2021,384.9,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,F,THS_PER,NO,2021,44.8,,
